2294,4,down,flat,up
5250,"5208,5","5156,6","5096,6",1
"5246,6","5213,5","5158,6","5103,2",1
"5231,5","5224,6","5160,9","5108,9",2
"5238,2","5240,3",5168,"5115,2",2
"5272,5","5250,2","5179,4",5121,1
"5285,3","5255,7","5189,8",5126,1
"5283,4","5260,7","5201,1","5131,5",1
"5297,3","5269,2","5210,3","5138,8",1
"5311,5","5279,2","5219,1","5144,5",2
"5337,4","5299,5",5231,"5152,1",1
"5357,4","5313,3","5241,4","5158,3",1
"5357,6","5323,8","5252,1","5166,4",0
"5332,5","5326,8","5261,5","5173,1",2
"5332,1","5337,7","5269,9","5179,8",1
"5360,5","5344,8","5277,5","5187,5",1
"5367,5","5353,7","5289,2","5195,3",2
"5393,6","5360,9","5302,4","5202,6",1
"5408,2","5368,2","5311,7","5208,4",1
"5413,4","5376,9","5320,6","5214,1",1
5428,"5395,5","5329,8","5219,9",0
"5414,9","5400,5","5337,1","5225,1",0
"5379,1","5400,9","5343,1","5230,2",1
"5355,5","5397,1","5349,5","5234,6",1
"5359,8","5391,2","5355,2","5240,4",0
"5340,5","5377,7","5356,3","5244,3",1
"5323,2","5365,4",5359,"5248,8",2
"5369,3","5360,9","5364,9","5253,9",2
"5420,1","5366,9","5371,3","5259,5",1
"5437,5","5377,6","5377,5","5264,6",1
"5442,9","5391,9","5381,9","5270,2",1
"5448,1","5402,8","5386,6","5275,5",2
5469,"5428,6",5393,"5281,3",1
"5483,4","5448,6","5401,7","5287,3",2
"5493,9","5464,2","5409,2","5295,2",1
"5508,6","5473,9","5416,5","5304,2",0
"5472,7","5474,3","5419,7","5311,5",1
"5447,2","5475,1","5421,8","5319,4",1
5457,"5476,8","5424,6","5326,1",1
"5455,9","5471,4","5426,1","5332,4",1
"5438,7","5464,1","5425,6","5338,4",0
"5407,2","5446,6","5425,3","5343,3",0
"5349,1","5418,5","5422,6","5346,5",1
"5307,4","5399,4","5420,5","5350,3",2
"5343,7","5388,9",5421,"5354,1",0
"5354,4","5370,1","5421,9","5356,5",0
"5290,8","5341,7","5417,8","5358,7",2
"5275,1","5323,3","5412,5","5361,7",2
"5327,9","5319,1","5408,6","5364,5",1
"5355,2","5325,1","5404,3","5366,7",1
"5364,9","5335,5","5400,8","5369,2",1
"5381,7","5335,9","5397,6","5371,9",2
"5405,9","5350,2","5394,5","5375,6",1
"5427,2","5374,9",5392,"5379,8",2
"5451,3","5400,6","5390,2","5384,1",2
"5492,7",5422,"5390,4","5388,6",2
"5525,6","5449,3","5395,5","5393,8",1
5536,"5470,8","5399,3","5398,7",0
"5507,5","5485,2","5400,5","5402,2",1
"5499,6","5497,6","5403,6","5406,2",1
"5512,4","5509,6","5407,9","5409,2",0
"5482,2","5506,4","5411,1","5411,2",2
5497,"5510,8","5422,7","5414,7",1
"5536,7","5509,6","5434,1","5419,3",1
"5537,6","5511,2","5442,1",5423,2
"5579,7","5530,2","5456,6","5428,1",1
"5614,3",5544,"5474,4","5432,8",0
"5592,7","5553,2","5488,4","5436,1",0
5546,"5562,2","5496,2","5438,3",1
5518,"5559,2","5504,6","5440,3",1
"5525,8","5559,1","5512,3","5442,2",0
"5517,5","5553,4","5518,2","5444,4",2
"5555,9","5552,3","5527,3","5449,3",1
"5613,7","5553,3","5536,9","5454,7",1
"5624,4","5561,3","5544,6","5459,9",0
"5611,3","5571,9","5548,7","5465,5",1
"5576,7","5578,1","5549,7",5470,1
"5558,4","5581,3",5551,"5473,1",2
"5584,9","5597,4","5557,5","5476,6",0
"5597,2","5593,1","5560,7","5479,5",1
"5577,4",5587,5564,5482,2
"5606,6",5588,"5573,2","5485,8",1
"5623,6","5590,5","5576,6","5488,2",1
"5595,8","5593,5","5579,1","5490,3",2
5601,"5602,7",5583,"5492,5",1
"5632,6","5607,1","5584,4","5495,3",0
5627,"5611,2","5584,3","5498,7",2
"5635,3","5623,6","5588,6","5502,8",1
"5669,8","5629,2","5596,6","5507,2",1
"5679,2","5639,5","5604,8","5511,7",1
"5678,9",5653,"5611,9","5516,8",1
"5689,9","5664,9",5622,5523,0
"5684,1","5667,7","5624,8","5530,2",1
"5678,8","5679,7","5628,5","5537,9",0
"5668,2","5677,1","5629,2","5543,1",2
"5663,3","5677,9","5633,7","5550,3",2
"5704,3","5684,3","5641,9","5559,7",1
"5723,4","5690,6","5650,2","5568,2",1
"5717,2","5692,1","5655,1","5575,3",1
"5726,7","5702,8","5663,2",5583,1
"5726,7","5705,8","5670,1","5589,7",1
5704,5713,"5672,9","5595,9",1
"5701,2","5716,6","5677,8","5601,5",1
"5712,1","5715,2","5684,5","5607,3",2
"5739,5","5721,2","5691,7","5613,1",0
"5675,5","5703,3","5688,8","5614,6",0
"5552,4","5671,4","5684,2","5614,1",0
"5487,4","5634,9",5674,"5612,7",0
"5441,6","5596,4","5661,4","5611,5",0
"5404,9","5550,3","5646,6","5608,9",2
"5411,1","5510,4","5634,6","5607,4",1
"5446,1","5466,4","5622,2","5607,5",2
"5489,7","5457,3","5615,2","5607,2",1
"5531,1","5460,3","5607,4","5607,2",0
5517,"5465,7",5600,"5606,3",0
"5464,5","5466,9","5587,6","5602,6",0
"5364,6","5454,2","5566,1","5596,3",2
5343,"5447,5","5549,5","5592,6",1
5386,5437,5533,"5589,9",2
"5420,6","5427,7","5518,9","5588,8",2
"5481,1","5422,8","5508,4","5588,2",1
"5502,7","5423,7","5498,8","5588,2",2
"5550,3","5447,3","5493,3","5587,9",2
"5616,6","5495,6","5489,2","5588,3",0
"5605,5","5522,3","5479,9","5587,2",1
"5581,7","5551,6","5479,8","5587,1",0
"5569,9","5564,9","5481,7","5586,9",2
"5592,1","5583,3","5490,3","5588,4",1
"5632,8","5602,1","5500,8","5588,8",1
"5639,9","5608,9","5513,8","5590,1",2
"5678,7","5619,9","5527,6","5592,9",1
"5725,5","5643,1","5541,8","5594,9",1
"5740,2","5665,2","5552,6","5597,5",1
"5753,8","5695,7",5564,"5601,2",1
"5759,1","5712,9","5576,8","5603,9",1
"5750,4","5729,3","5592,6","5605,9",2
"5769,1","5749,8","5617,3","5609,6",2
"5825,7","5771,3","5640,9","5613,5",1
"5860,1","5788,3","5664,7","5617,2",1
5847,"5801,8","5683,5","5620,3",1
"5832,5","5810,8","5699,8","5623,3",2
5884,"5837,5","5721,7",5628,1
"5928,1","5861,5","5737,6","5633,1",0
"5901,7","5875,3","5750,2","5636,9",2
"5916,7","5887,5","5768,7",5643,1
"5945,9","5899,9","5786,6","5648,2",1
"5937,6","5913,4","5805,5","5652,3",1
"5945,4","5932,1","5821,9","5657,1",2
"5975,1","5939,4","5839,7","5662,7",1
"5997,2","5951,9","5857,7","5667,9",2
"6036,6",5978,"5875,5",5675,1
"6070,2","5995,7","5892,1","5682,6",0
"6052,9","6008,5","5906,8","5689,1",1
"6042,9","6025,8",5921,"5695,8",0
"6032,2","6033,3","5934,1","5700,8",2
"6031,7",6042,"5949,2","5710,1",1
"6038,5","6045,1",5961,"5720,3",1
"6038,1","6042,4","5970,4","5732,1",0
"6033,8","6034,8","5978,4",5744,1
"6022,5","6033,7","5987,9","5756,8",2
"6064,1","6040,8","6001,6","5770,1",1
"6095,5","6051,8","6009,1","5782,8",1
"6089,8","6057,4","6017,7","5794,1",2
6105,"6070,8","6029,4","5805,7",0
"6084,3","6070,6","6034,5","5816,8",1
"6052,9","6076,3","6040,1","5829,3",1
"6064,5","6082,6","6047,2","5844,8",1
"6063,9","6076,2",6052,"5858,1",1
"6049,3","6069,4","6054,6","5871,3",2
"6073,1","6071,4","6059,6","5884,2",2
"6136,1","6078,3","6064,5","5897,5",0
6147,"6089,4","6067,3",5910,0
"6102,2","6092,4","6069,5","5919,6",0
"6028,2",6079,"6065,8","5926,4",0
"5934,2","6055,3","6059,7","5932,7",1
"5886,9","6032,6","6051,3","5938,7",2
"5911,7","6009,2",6047,"5946,4",0
"5919,1","5970,6","6039,4","5951,7",2
"5916,2","5943,2","6035,2","5957,7",2
"5990,8","5938,8","6036,2","5965,8",2
"6076,3",5957,"6036,4","5973,6",1
"6096,2","5985,1","6036,3","5980,6",1
"6079,4",6012,"6035,4","5987,2",1
"6082,5","6033,9","6034,1","5993,7",0
"6061,5","6052,7","6033,1","5999,3",1
"6026,5","6065,4","6031,4","6004,8",1
"6013,1",6059,6028,"6009,1",0
"5978,1","6037,3","6022,8","6010,9",1
"5947,5","6016,6","6017,8","6012,6",2
5974,"6007,2","6012,9",6016,2
"6030,6","6001,7","6007,3","6020,5",1
"6040,9","6001,3","6002,3","6022,2",2
"6048,4",6008,"6001,9","6025,3",1
6084,"6021,6","6007,9","6029,5",0
"6078,8","6036,8","6016,3","6031,8",2
"6081,1","6059,8","6027,3","6034,9",1
"6103,7","6073,8","6035,5","6038,4",0
"6061,9","6068,7","6041,6","6039,6",1
"6010,2",6065,"6044,9","6039,8",2
"6052,1","6069,8","6047,7","6041,8",1
"6110,5","6072,6","6048,4","6042,8",1
"6121,8",6082,"6050,3","6043,9",1
"6112,4","6081,5","6051,7","6045,2",0
"6047,6",6066,"6046,8","6044,1",2
"6030,7","6072,6","6048,6","6045,1",0
"6011,3","6066,4","6045,3","6043,2",2
"5983,2","6052,9","6045,6","6042,9",0
"5958,3","6022,9","6043,3",6040,0
"5872,3","5981,7","6038,1","6036,4",0
"5756,1","5921,1","6021,5","6029,4",0
