"2294","4","down","flat","up"
"5134.40","5103.50","5129.80","5028.10","1"
"5145.90","5115.90","5131.90","5031.40","0"
"5131.50","5122.00","5131.30","5035.40","2"
"5154.40","5141.20","5136.80","5040.40","1"
"5200.50","5153.00","5141.60","5047.50","0"
"5175.10","5153.50","5143.10","5054.70","1"
"5144.20","5156.80","5143.00","5062.70","2"
"5183.00","5167.40","5146.00","5072.40","1"
"5231.30","5181.20","5149.00","5080.30","1"
"5246.60","5200.30","5153.20","5088.00","1"
"5250.00","5208.50","5156.60","5096.60","1"
"5246.60","5213.50","5158.60","5103.20","1"
"5231.50","5224.60","5160.90","5108.90","2"
"5238.20","5240.30","5168.00","5115.20","2"
"5272.50","5250.20","5179.40","5121.00","1"
"5285.30","5255.70","5189.80","5126.00","1"
"5283.40","5260.70","5201.10","5131.50","1"
"5297.30","5269.20","5210.30","5138.80","1"
"5311.50","5279.20","5219.10","5144.50","2"
"5337.40","5299.50","5231.00","5152.10","1"
"5357.40","5313.30","5241.40","5158.30","1"
"5357.60","5323.80","5252.10","5166.40","0"
"5332.50","5326.80","5261.50","5173.10","2"
"5332.10","5337.70","5269.90","5179.80","1"
"5360.50","5344.80","5277.50","5187.50","1"
"5367.50","5353.70","5289.20","5195.30","2"
"5393.60","5360.90","5302.40","5202.60","1"
"5408.20","5368.20","5311.70","5208.40","1"
"5413.40","5376.90","5320.60","5214.10","1"
"5428.00","5395.50","5329.80","5219.90","0"
"5414.90","5400.50","5337.10","5225.10","0"
"5379.10","5400.90","5343.10","5230.20","1"
"5355.50","5397.10","5349.50","5234.60","1"
"5359.80","5391.20","5355.20","5240.40","0"
"5340.50","5377.70","5356.30","5244.30","1"
"5323.20","5365.40","5359.00","5248.80","2"
"5369.30","5360.90","5364.90","5253.90","2"
"5420.10","5366.90","5371.30","5259.50","1"
"5437.50","5377.60","5377.50","5264.60","1"
"5442.90","5391.90","5381.90","5270.20","1"
"5448.10","5402.80","5386.60","5275.50","2"
"5469.00","5428.60","5393.00","5281.30","1"
"5483.40","5448.60","5401.70","5287.30","2"
"5493.90","5464.20","5409.20","5295.20","1"
"5508.60","5473.90","5416.50","5304.20","0"
